,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,index,name,venue,date,country,event,sex,round,url,ms*,Split,Mark,Athlete
1,2.0,,Artur Noga,POL,13.34 Q PB,0.181,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
2,3.0,,Jackson Quiñónez,ESP,13.40 Q =SB,0.173,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
3,4.0,,Maurice Wignall,JAM,13.40 Q,0.141,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
4,5.0,,Dongpeng Shi,CHN,13.42,0.141,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
5,6.0,,Marcel van der Westen,NED,13.45,0.124,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
6,7.0,,Ryan Brathwaite,BAR,13.59,0.147,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
7,8.0,,Samuel Coco-Viloin,FRA,13.65,0.187,86,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/semi-final/result,,,,
0,1.0,,Dayron Robles,CUB,12.93,0.183,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
1,2.0,,David Payne,USA,13.17 SB,0.175,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
2,3.0,,David Oliver,USA,13.18,0.158,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
3,4.0,,Ladji Doucouré,FRA,13.24,0.17,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
4,5.0,,Artur Noga,POL,13.36,0.169,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
5,6.0,,Maurice Wignall,JAM,13.46,0.163,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
6,7.0,,Richard Phillips,JAM,13.60,0.154,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
7,8.0,,Jackson Quiñónez,ESP,13.69,0.187,87,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/110-metres-hurdles/final/result,,,,
0,1.0,,Allyson Felix,USA,23.02 Q,0.189,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
1,2.0,,Susanthika Jayasinghe,SRI,23.04 Q,0.235,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
2,3.0,,Virgil Hodge,SKN,23.14 Q,0.226,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
3,4.0,,Aleksandra Fedoriva - Shpaer,RUS,23.29 Q,0.206,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
4,5.0,,Inna Eftimova,BUL,23.50 q,0.197,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
5,6.0,,Kia Davis,LBR,24.31,0.217,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
6,7.0,,Kirsten Nieuwendam,SUR,24.46 NR,0.19,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
7,,,Vida Anim,GHA,DNS,,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
0,1.0,,Muna Lee,USA,22.71 Q,0.174,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
1,2.0,,Muriel Hurtis,FRA,22.72 Q,0.21,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
2,3.0,,Cydonie Mothersille,CAY,22.76 Q SB,0.222,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
3,4.0,,Ivet Lalova-Collio,BUL,23.13 q SB,0.207,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
4,5.0,,Mariely Sánchez,DOM,24.05,0.265,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
5,6.0,,Carol Rodríguez,PUR,24.07,0.195,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
6,,,Yuliya Chermoshanskaya,RUS,DQ,0.204,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
7,,,Kim Gevaert,BEL,DNS,,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
0,1.0,,Marshevet Myers,USA,23.07 Q,0.196,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
1,2.0,,Debbie Ferguson-McKenzie,BAH,23.22 Q,0.174,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
2,3.0,,Oludamola Osayomi,NGR,23.31 Q,0.192,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
3,4.0,,Eleni Artymata,CYP,23.58 Q SB,0.2,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
4,5.0,,Sabina Veit,SLO,23.62,0.213,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
5,6.0,,Gloria Ubiebor,NGR,23.72,0.216,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
6,7.0,,Meritzer Williams,SKN,23.83,0.225,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
7,8.0,,Fabienne Féraez,BEN,24.07,0.25,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
0,1.0,,Rakia Al-Gassra,BRN,22.81 Q,0.276,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
1,2.0,,Emily Freeman,GBR,22.95 Q,0.2,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
2,3.0,,Kerron Stewart,JAM,23.03 Q,0.269,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
3,4.0,,Ionela Târlea,ROU,23.24 Q,0.187,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
4,5.0,,Darlenis Obregón,COL,23.33 q,0.22,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
5,6.0,,Guzel Khubbieva,UZB,23.44 q,0.154,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
6,7.0,,Jade Bailey,BAR,23.62,0.22,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
7,8.0,,Lai Lai Win,MYA,24.37,0.195,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
0,1.0,,Veronica Campbell-Brown,JAM,23.04 Q,0.209,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
1,2.0,,Kadiatou Camara,MLI,23.06 Q,0.245,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
2,3.0,,Natalia Rusakova,RUS,23.21 Q,0.205,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
3,4.0,,Sheniqua Ferguson,BAH,23.33 Q,0.188,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
4,5.0,,Adrienne Power,CAN,23.40 q,0.168,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
5,6.0,,Vincenza Calì,ITA,23.44 q,0.21,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
6,7.0,,Isabel Le Roux,RSA,23.67,0.201,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
7,8.0,,Samia Yusuf Omar,SOM,32.16,,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
0,1.0,,Nataliia Pygyda,UKR,22.91 Q =PB,0.18,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
1,2.0,,Sherone Simpson,JAM,22.94 Q,0.193,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
2,3.0,,Roxana Díaz,CUB,23.09 Q,0.182,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
3,4.0,,LaVerne Jones-Ferrette,ISV,23.12 Q,0.178,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
4,5.0,,Evelyn dos Santos,BRA,23.43 q,0.211,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
5,6.0,,Allison George,GRN,23.45 q,0.235,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
6,7.0,,Marta Jeschke,POL,23.59,0.18,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
7,8.0,,Gretta Taslakian,LBN,25.32 SB,0.208,89,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/heats/result,,,,
0,1.0,,Veronica Campbell-Brown,JAM,22.19 Q,0.187,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
1,2.0,,Kerron Stewart,JAM,22.29 Q,0.217,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
2,3.0,,Muna Lee,USA,22.29 Q PB,0.186,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
3,4.0,,Debbie Ferguson-McKenzie,BAH,22.51 Q,0.165,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
4,5.0,,Nataliia Pygyda,UKR,22.95,0.16,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
5,6.0,,Susanthika Jayasinghe,SRI,22.98,0.245,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
6,7.0,,Roxana Díaz,CUB,23.12,0.177,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
7,,,Yuliya Chermoshanskaya,RUS,DQ,0.204,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
0,1.0,,Allyson Felix,USA,22.33 Q,0.181,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
1,2.0,,Marshevet Myers,USA,22.50 Q,0.196,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
2,3.0,,Sherone Simpson,JAM,22.50 Q,0.175,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
3,4.0,,Cydonie Mothersille,CAY,22.61 Q SB,0.212,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
4,5.0,,Muriel Hurtis,FRA,22.71,0.188,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
5,6.0,,Rakia Al-Gassra,BRN,22.72,0.259,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
6,7.0,,Emily Freeman,GBR,22.83,0.201,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
7,8.0,,Aleksandra Fedoriva - Shpaer,RUS,23.22,0.202,90,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/semi-final/result,,,,
0,1.0,,Veronica Campbell-Brown,JAM,21.74 PB,0.172,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
1,2.0,,Allyson Felix,USA,21.93 SB,0.193,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
2,3.0,,Kerron Stewart,JAM,22.00,0.199,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
3,4.0,,Muna Lee,USA,22.01 PB,0.176,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
4,5.0,,Marshevet Myers,USA,22.34 PB,0.2,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
5,6.0,,Sherone Simpson,JAM,22.36,0.167,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
6,7.0,,Debbie Ferguson-McKenzie,BAH,22.61,0.175,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
7,8.0,,Cydonie Mothersille,CAY,22.68,0.206,91,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,women,final,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/women/200-metres/final/result,,,,
0,1.0,,Shawn Crawford,USA,20.61 Q,0.216,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
1,2.0,,Marcin Jedrusinski,POL,20.64 Q,0.199,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
2,3.0,,Stéphane Buckland,MRI,20.98 Q,0.229,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
3,4.0,,Jirí Vojtík,CZE,21.05,0.165,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
4,5.0,,Fanuel Kenosi,BOT,21.09,0.211,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
5,6.0,,Adam Harris,GUY,21.36,0.163,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
6,7.0,,Khalil Al-Hanahneh,JOR,21.55 SB,0.184,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
7,8.0,,Solomon BOCKARIE,SLE,22.16,0.216,93,The XXIX Olympic Games,Beijing (National Stadium),08 AUG 2008 - 24 AUG 2008,CHN,200-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2008/the-xxix-olympic-games-3659/men/200-metres/heats/result,,,,
